objectid,filename,title,image_alt_text,creator,date,coverage,coverage,description,subject,keywords,type,dimensions,size,rights,rightsstatement,format,rights_holder
midwestderecho2020_001,midwestderecho2020_001.JPG,Taking Shelter,A woman holding a dog wrapped in a blanket in the dark.,"Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,A woman and her dog take shelter in the basement while a derecho wreaks havoc above.,Emergency shelter.; Emergency management.; Disaster planning.; Emergency preparedness.; Natural disaster warning systems--United States.,Derecho; Windstorm,Image;StillImage,960px x 1280px,221 KB,This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_002,midwestderecho2020_002.JPG,After the Storm,A view of the street strewn with fallen trees and foliage.,"Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,An initial survey of the damage caused by a derecho.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,3024px x 4032px,"2,540 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_003,midwestderecho2020_003.JPG,Open Window,A window with the upper section hanging loosely out of the frame.,"Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,A window was blown out of its frame during the storm.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,3024px x 4032px,"2,323 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_004,midwestderecho2020_004.JPG,Branches Everywhere,"A view of the front yard, littered with branches and foliage.","Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,"The front yard littered with fallen branches and foliage, as seen through the upstairs window screen.",Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"2,763 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_005,midwestderecho2020_005.JPG,No Power,"A view of the driveway, littered with more branches and a loose power line.","Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,The storm knocked the power lines lose; they now lie across the driveway.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.; Electric power systems--Natural disaster effects.; Electric power systems--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"2,804 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_006,midwestderecho2020_006.JPG,Debris on the Deck,"A view of the deck, littered with pieces of siding and more foliage.","Eyzaguirre, Maria Jose",2020-08-10,Cedar Rapids,52405,Pieces of siding were torn off the house and now lie on the deck.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,3024px x 4032px,"2,991 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_007,midwestderecho2020_007.JPG,Fences Gone,Fence posts with missing fence sections at the back of a house.,"Eyzaguirre, Maria Jose",2020-08-11,Cedar Rapids,52405,Little of the fence remains after the storm.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"2,458 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_008,midwestderecho2020_008.JPG,The Morning After,A street littered with fallen branches and foliage.,"Eyzaguirre, Maria Jose",2020-08-11,Cedar Rapids,52405,"A shot down the street, surveying the damage.",Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"3,237 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_009,midwestderecho2020_009.JPG,Branches in the Yard,"Large branches have fallen into the yard, breaking a chain link fence.","Eyzaguirre, Maria Jose",2020-08-11,Cedar Rapids,52405,A better look at the damage done to the chain link fence in the yard.,Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"3,449 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
midwestderecho2020_010,midwestderecho2020_010.JPG,Continued Survey,"A man points at some of the damaged property, behind him the garage has a warped door and damaged roof.","Eyzaguirre, Maria Jose",2020-08-11,Cedar Rapids,52405,"The owners of the house walk around the property, noting more of the damage.",Buildings--Natural disaster effects.; Buildings--Natural disaster effects--United States.,Derecho; Windstorm,Image;StillImage,4032px x 3024px,"3,067 KB",This work is licensed under the Creative Commons Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,Maria Jose Eyzaguirre
